Symbol,Company Name,Market Cap,Div. Yield,Div. Growth 3Y,Div. Growth 5Y,Div. Growth 10Y
NVDA,NVIDIA Corporation,4584652476141,0.02%,35.72%,20.11%,13.72%
GOOGL,Alphabet Inc.,3837652369144,0.26%,,,
GOOG,Alphabet Inc.,3819265064793,0.27%,,,
AAPL,Apple Inc.,3828515423772,0.40%,3.80%,4.49%,6.92%
MSFT,Microsoft Corporation,2753943398100,0.98%,10.20%,10.20%,9.86%
AMZN,"Amazon.com, Inc.",2558990436991,,,,
AVGO,Broadcom Inc.,1761620156664,0.70%,12.54%,12.60%,30.36%
TSM,Taiwan Semiconductor Manufacturing Company Limited,1922120417365,0.71%,23.01%,13.84%,13.37%
META,"Meta Platforms, Inc.",1587872631454,0.33%,,,
TSLA,"Tesla, Inc.",1309411140817,,,,
BRK.A,Berkshire Hathaway Inc.,1035528474684,,,,
BRK.B,Berkshire Hathaway Inc.,1035082362666,,,,
WMT,Walmart Inc.,1010661465052,0.78%,8.76%,5.93%,3.87%
LLY,Eli Lilly and Company,887629105930,0.74%,13.87%,14.40%,11.92%
JPM,JPMorgan Chase & Co.,835729424210,1.94%,13.83%,10.38%,12.86%
XOM,Exxon Mobil Corporation,634598073892,2.70%,3.82%,3.03%,3.23%
V,Visa Inc.,586818164309,0.88%,13.47%,14.87%,16.65%
JNJ,Johnson & Johnson,574664500755,2.18%,4.32%,4.92%,5.48%
ASML,ASML Holding N.V.,569755225816,0.44%,8.31%,18.74%,20.35%
MU,"Micron Technology, Inc.",474311960700,0.14%,2.47%,37.70%,17.34%
MA,Mastercard Incorporated,445022968522,0.70%,15.42%,14.18%,16.63%
COST,Costco Wholesale Corporation,442974210910,0.52%,11.81%,-16.60%,12.16%
NFLX,"Netflix, Inc.",436486677253,,,,
AMD,"Advanced Micro Devices, Inc.",399515666400,,,,
ORCL,Oracle Corporation,397210713060,1.45%,13.72%,13.97%,12.79%
CVX,Chevron Corporation,376918133131,3.78%,5.65%,5.81%,4.91%
BAC,Bank of America Corporation,377062860196,2.13%,7.72%,8.85%,18.59%
CAT,Caterpillar Inc.,370012752908,0.76%,7.96%,7.95%,6.97%
ABBV,AbbVie Inc.,367867768500,3.33%,5.26%,6.33%,12.05%
PG,The Procter & Gamble Company,339200241973,2.91%,4.74%,5.45%,4.75%
HD,"The Home Depot, Inc.",335994350740,2.76%,4.97%,7.94%,13.68%
KO,The Coca-Cola Company,333442500500,2.74%,4.99%,4.54%,4.24%
LRCX,Lam Research Corporation,329250961860,0.39%,14.80%,14.87%,23.74%
CSCO,"Cisco Systems, Inc.",324858982637,2.04%,2.55%,2.62%,6.37%
GE,GE Aerospace,325251865140,0.61%,69.20%,37.10%,-14.43%
AZN,AstraZeneca PLC,316304348014,1.57%,47.36%,26.19%,5.35%
AMAT,"Applied Materials, Inc.",317039258900,0.53%,20.19%,16.24%,16.92%
INTC,Intel Corporation,311588100000,,-25.72%,-18.08%,-6.70%
HSBC,HSBC Holdings plc,310274357222,4.13%,21.40%,27.90%,3.88%
PLTR,Palantir Technologies Inc.,293445648200,,,,
MRK,"Merck & Co., Inc.",300197837004,2.80%,5.34%,5.67%,6.14%
NVS,Novartis AG,297354035053,2.00%,8.23%,7.35%,2.96%
BABA,Alibaba Group Holding Limited,295491121677,0.82%,,,
MS,Morgan Stanley,282067501027,2.25%,8.18%,22.90%,20.66%
GS,"The Goldman Sachs Group, Inc.",269392373400,1.98%,15.73%,25.39%,19.55%
UNH,UnitedHealth Group Incorporated,276232988083,2.90%,8.98%,12.07%,15.32%
TM,Toyota Motor Corporation,274535219112,2.67%,14.14%,7.23%,5.71%
RTX,RTX Corporation,270551972400,1.35%,6.69%,7.05%,0.53%
GEV,GE Vernova Inc.,267189960148,0.20%,,,
WFC,Wells Fargo & Company,263575368800,2.11%,13.40%,34.34%,1.52%
SHEL,Shell plc,261662076666,3.14%,10.39%,20.61%,-1.83%
PM,Philip Morris International Inc.,249769306000,3.66%,4.41%,3.84%,3.56%
RY,Royal Bank of Canada,240091225100,2.61%,4.89%,6.13%,6.52%
LIN,Linde plc,233156769591,1.19%,8.43%,8.56%,7.61%
KLAC,KLA Corporation,228265284435,0.44%,13.48%,16.12%,13.83%
MCD,McDonald's Corporation,218134582293,2.43%,6.92%,7.23%,7.51%
IBM,International Business Machines Corporation,216460725840,2.91%,0.55%,0.58%,2.40%
TMUS,"T-Mobile US, Inc.",218902923555,2.08%,,,
AXP,American Express Company,215253489000,1.05%,16.44%,14.67%,11.39%
PEP,"PepsiCo, Inc.",214691747963,3.62%,6.47%,6.55%,7.12%
C,Citigroup Inc.,217545435200,1.93%,5.57%,3.30%,28.21%
MUFG,"Mitsubishi UFJ Financial Group, Inc.",204596529321,2.25%,30.48%,16.27%,18.08%
TTE,TotalEnergies SE,206331823132,4.12%,63.09%,34.11%,
NEE,"NextEra Energy, Inc.",196017561600,2.65%,9.17%,9.58%,10.97%
TXN,Texas Instruments Incorporated,195503719990,2.65%,4.52%,7.02%,14.15%
BHP,BHP Group Limited,195123906517,3.42%,-7.93%,-15.26%,15.93%
VZ,Verizon Communications Inc.,194181987200,6.15%,2.10%,2.06%,2.11%
SAP,SAP SE,190049855248,1.17%,5.70%,3.13%,7.43%
AMGN,Amgen Inc.,189223535279,2.87%,6.38%,7.84%,10.59%
ANET,"Arista Networks, Inc.",185555664790,,,,
T,AT&T Inc.,185340355500,4.20%,,-11.80%,-5.23%
TMO,Thermo Fisher Scientific Inc.,184296927240,0.35%,12.08%,13.85%,11.36%
TJX,"The TJX Companies, Inc.",179451477866,1.19%,12.96%,27.54%,14.71%
SAN,"Banco Santander, S.A.",179074317050,1.52%,29.95%,44.88%,1.42%
DIS,The Walt Disney Company,175849056804,1.51%,71.00%,37.97%,0.55%
ABT,Abbott Laboratories,174289587949,2.51%,7.57%,8.54%,9.33%
APH,Amphenol Corporation,173012715000,0.71%,26.50%,25.18%,19.48%
GILD,"Gilead Sciences, Inc.",172517167800,2.36%,2.76%,3.01%,6.37%
BA,The Boeing Company,170915067610,,,,7.47%
ADI,"Analog Devices, Inc.",170939803532,1.26%,7.90%,9.21%,9.52%
RIO,Rio Tinto Group,159786729412,4.07%,-0.12%,-16.14%,10.20%
